fallecidos,n_personas,edad,todos_con_seguridad,C_MNTH,C_WDAY,C_HOUR,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_TYPE,V_YEAR,sexo_M
0,1,46.0,False,1,1.0,6.0,4.0,21.0,5.0,2.0,2.0,2.0,18.0,1,1996.0,0
0,1,28.0,False,1,1.0,6.0,4.0,21.0,5.0,2.0,2.0,2.0,18.0,6,1968.0,1
0,1,19.0,False,1,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,,1,1986.0,1
0,1,28.0,False,1,1.0,7.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,7,1987.0,1
1,2,37.0,False,1,1.0,7.0,2.0,22.0,1.0,4.0,5.0,3.0,18.0,1,1990.0,1
0,1,35.0,False,1,1.0,7.0,2.0,22.0,1.0,4.0,5.0,3.0,18.0,1,1989.0,1
0,1,35.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1996.0,1
0,1,39.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1999.0,1
0,1,54.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1995.0,0
0,1,27.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1989.0,1
0,1,52.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1994.0,0
0,1,38.0,False,1,1.0,7.0,6.0,21.0,5.0,5.0,5.0,2.0,18.0,1,1999.0,1
0,1,50.0,False,1,1.0,7.0,1.0,1.0,1.0,3.0,4.0,1.0,18.0,1,1993.0,1
0,1,36.0,False,1,1.0,7.0,1.0,1.0,1.0,4.0,3.0,1.0,18.0,1,1993.0,0
0,1,29.0,False,1,1.0,7.0,1.0,1.0,1.0,5.0,5.0,1.0,18.0,1,1998.0,0
0,1,62.0,False,1,1.0,7.0,1.0,1.0,1.0,5.0,5.0,2.0,18.0,8,1994.0,1
0,1,28.0,False,1,1.0,7.0,1.0,1.0,1.0,7.0,5.0,1.0,18.0,1,1993.0,0
0,1,46.0,False,1,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,18.0,11,1997.0,1
0,1,44.0,False,1,1.0,7.0,1.0,1.0,2.0,1.0,3.0,1.0,18.0,11,1981.0,1
0,2,44.0,False,1,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,11,1985.0,1
0,1,42.0,False,1,1.0,7.0,1.0,1.0,2.0,4.0,5.0,2.0,3.0,6,1996.0,1
0,1,52.0,False,1,1.0,7.0,1.0,1.0,3.0,4.0,4.0,1.0,18.0,6,1993.0,1
0,1,57.0,False,1,1.0,7.0,1.0,1.0,,4.0,,,6.0,1,1988.0,1
0,1,18.0,False,1,1.0,7.0,1.0,3.0,1.0,1.0,5.0,1.0,18.0,1,1996.0,0
0,3,29.0,False,1,1.0,7.0,1.0,3.0,,1.0,5.0,2.0,18.0,1,1965.0,0
0,1,23.0,False,1,1.0,7.0,1.0,4.0,1.0,1.0,1.0,1.0,18.0,1,1986.0,1
0,1,34.0,False,1,1.0,7.0,1.0,4.0,1.0,1.0,3.0,1.0,18.0,1,1993.0,0
0,1,44.0,False,1,1.0,7.0,1.0,4.0,1.0,1.0,,1.0,18.0,1,1998.0,1
0,1,26.0,False,1,1.0,7.0,1.0,4.0,1.0,3.0,2.0,4.0,18.0,1,1995.0,0
0,1,50.0,False,1,1.0,7.0,1.0,4.0,5.0,1.0,5.0,1.0,18.0,6,1994.0,0
0,1,35.0,False,1,1.0,7.0,1.0,4.0,8.0,1.0,2.0,2.0,18.0,1,1994.0,0
0,1,49.0,False,1,1.0,7.0,1.0,4.0,,1.0,5.0,2.0,18.0,1,1994.0,0
0,1,,False,1,1.0,7.0,1.0,4.0,,1.0,5.0,2.0,18.0,1,1995.0,1
0,1,41.0,False,1,1.0,7.0,1.0,,,1.0,5.0,4.0,,1,1994.0,1
0,1,64.0,False,1,1.0,7.0,1.0,,2.0,3.0,2.0,1.0,,1,1991.0,0
0,1,24.0,False,1,1.0,7.0,2.0,1.0,1.0,3.0,2.0,2.0,18.0,1,1986.0,0
0,1,,False,1,1.0,7.0,2.0,1.0,1.0,3.0,2.0,2.0,18.0,1,1998.0,1
